Participant,mean_ch1,mean_ch2,mean_ch3,mean_ch4,mean_ch5,mean_ch6,mean_ch7,mean_ch8,Standard Deviation_ch1,Standard Deviation_ch2,Standard Deviation_ch3,Standard Deviation_ch4,Standard Deviation_ch5,Standard Deviation_ch6,Standard Deviation_ch7,Standard Deviation_ch8,Mean Absolute Value_ch1,Mean Absolute Value_ch2,Mean Absolute Value_ch3,Mean Absolute Value_ch4,Mean Absolute Value_ch5,Mean Absolute Value_ch6,Mean Absolute Value_ch7,Mean Absolute Value_ch8,Root Mean Square_ch1,Root Mean Square_ch2,Root Mean Square_ch3,Root Mean Square_ch4,Root Mean Square_ch5,Root Mean Square_ch6,Root Mean Square_ch7,Root Mean Square_ch8,Skewness_ch1,Skewness_ch2,Skewness_ch3,Skewness_ch4,Skewness_ch5,Skewness_ch6,Skewness_ch7,Skewness_ch8,kurtosis_ch1,kurtosis_ch2,kurtosis_ch3,kurtosis_ch4,kurtosis_ch5,kurtosis_ch6,kurtosis_ch7,kurtosis_ch8,Hactivity_ch1,Hactivity_ch2,Hactivity_ch3,Hactivity_ch4,Hactivity_ch5,Hactivity_ch6,Hactivity_ch7,Hactivity_ch7,HMobility_ch1,HMobility_ch2,HMobility_ch3,HMobility_ch4,HMobility_ch5,HMobility_ch6,HMobility_ch7,HMobility_ch8,HComplexity_ch1,HComplexity_ch2,HComplexity_ch3,HComplexity_ch4,HComplexity_ch5,HComplexity_ch6,HComplexity_ch7,HComplexity_ch8,Shannon's Entropy_ch1,Shannon's Entropy_ch2,Shannon's Entropy_ch3,Shannon's Entropy_ch4,Shannon's Entropy_ch5,Shannon's Entropy_ch6,Shannon's Entropy_ch7,Shannon's Entropy_ch8,Spectral Entropy_ch1,Spectral Entropy_ch2,Spectral Entropy_ch3,Spectral Entropy_ch4,Spectral Entropy_ch5,Spectral Entropy_ch6,Spectral Entropy_ch7,Spectral Entropy_ch8,Power Spectral Density_ch1,Power Spectral Density_ch2,Power Spectral Density_ch3,Power Spectral Density_ch4,Power Spectral Density_ch5,Power Spectral Density_ch6,Power Spectral Density_ch7,Power Spectral Density_ch8
1,4.36884019,-1.387682065,-4.184197,-1.459716152,4.191567056,-19.61390974,1.709362839,3.485565739,13.84012981,14.67021016,12.68073621,15.55685903,15.90053915,29.740857,13.149283,23.54205617,11.41652301,12.10347101,10.73431511,12.82373447,13.24815945,26.02999028,11.08663701,20.54932879,14.4604137,14.67715936,13.30496775,15.56311367,16.38211716,35.52672067,13.20766201,23.70535277,0.359518209,-0.17525021,-0.194711858,-0.387167246,-0.08457915,-0.655586608,0.11177348,-0.123386429,2.592584471,2.268619092,2.996163587,2.162392646,3.178455685,2.4173344,2.09263241,1.854630915,191.5491932,215.215066,160.8010708,242.0158628,252.8271454,884.5185748,172.9036435,554.2284089,0.351818082,0.351818082,0.351818082,0.351818082,0.351818082,0.351818082,0.351818082,0.351818082,2.527335688,2.527335688,2.527335688,2.527335688,2.527335688,2.527335688,2.527335688,2.527335688,-2720801.773,-2720801.773,-2720801.773,-2720801.773,-2720801.773,-2720801.773,-2720801.773,-2720801.773,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,108526397935.941+43549793483.0723i,66.04376483,68.03844921,55.9111003,76.50034005,84.76380462,398.6464313,55.09628151,177.4856445
1,-3.52876155,4.619033143,-3.634415048,-5.182342189,3.418340632,4.021551263,-3.968405254,-10.71394312,15.33633246,13.22389051,11.48289782,16.4089258,12.36769905,13.64496674,15.27204386,16.28950571,12.45548679,11.2768667,9.31233088,14.13140897,10.41185241,11.90175986,13.17837178,16.16777479,15.67764524,13.95775341,12.00080961,17.14562886,12.78401598,14.1732259,15.72044815,19.44300998,0.309420182,-0.138460096,-0.317461629,-0.115426652,0.135866102,-0.105954843,0.034965964,0.372686807,3.124066855,2.949538789,3.41041216,2.124951802,2.58989694,2.115876071,2.192709814,2.764848068,235.2030933,174.8712803,131.8569423,269.2528459,152.9599799,186.1851174,233.2353236,265.3479963,0.477096772,0.477096772,0.477096772,0.477096772,0.477096772,0.477096772,0.477096772,0.477096772,2.020227737,2.020227737,2.020227737,2.020227737,2.020227737,2.020227737,2.020227737,2.020227737,-1442237.866,-1442237.866,-1442237.866,-1442237.866,-1442237.866,-1442237.866,-1442237.866,-1442237.866,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,400666757176.144+302532440372.333i,77.63044078,61.53205638,45.48743814,92.84899859,51.61845435,63.44651979,78.05491076,119.3980914
1,-1.602163936,-4.994979207,-5.466270312,-10.72720528,-1.277329176,-1.415710575,-0.765584029,6.192528342,16.2184713,15.14989127,13.24442965,15.59247341,13.32096263,14.88189693,16.77463214,19.21167842,13.76131167,12.68162777,11.44903277,15.63708044,10.67992487,12.47719268,13.89023306,16.93475953,16.23324154,15.89488728,14.27945538,18.87507867,13.32933972,14.89017755,16.72546448,20.11235243,-0.074782966,0.343320022,0.367158262,0.257288636,0.049104316,0.193639244,-0.185214069,-0.200410106,2.182113244,3.097130715,3.387399282,2.701473749,2.739066727,2.186516629,2.258901171,2.124665283,263.0388114,229.5192054,175.4149167,243.1252271,177.4480455,221.4708561,281.3882836,369.0885876,0.485413823,0.485413823,0.485413823,0.485413823,0.485413823,0.485413823,0.485413823,0.485413823,2.062114657,2.062114657,2.062114657,2.062114657,2.062114657,2.062114657,2.062114657,2.062114657,-1695093.304,-1695093.304,-1695093.304,-1695093.304,-1695093.304,-1695093.304,-1695093.304,-1695093.304,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,3714959980500.13+2485007204179.26i,83.23018824,79.79676621,64.40109458,112.5247147,56.11622815,70.02772876,88.35411097,127.7603603
1,2.637395947,-5.255032764,0.061331569,3.318269967,5.468296809,-15.67209243,14.3111364,18.48083561,14.41709821,13.87680196,12.92962955,15.94989972,18.50556819,14.23983351,18.48786158,12.84040869,12.11807992,11.76800769,10.3906799,13.1730407,15.38347354,17.40324207,18.9849564,19.34804855,14.59996416,14.78690986,12.87836533,16.22933069,19.22603493,21.13712448,23.32159824,22.47462658,-0.242089597,-0.029352056,0.026288353,-0.523355779,0.260536511,-0.169796409,0.017170405,-0.219090067,2.473334584,2.570922011,2.626485148,3.123983788,2.463589909,2.476944939,2.691438444,2.4251369,207.8527207,192.5656325,167.1753202,254.3993012,342.4560542,202.7728584,341.8010259,164.8760954,0.416210928,0.416210928,0.416210928,0.416210928,0.416210928,0.416210928,0.416210928,0.416210928,2.394195764,2.394195764,2.394195764,2.394195764,2.394195764,2.394195764,2.394195764,2.394195764,-2243929.899,-2243929.899,-2243929.899,-2243929.899,-2243929.899,-2243929.899,-2243929.899,-2243929.899,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,5941546546812.24+217505896454.721i,67.32462845,69.05978752,52.38315693,83.19008625,116.7480127,141.1113772,171.7856988,159.5347719
1,0.58232777,3.068477863,0.746781791,5.672197859,12.84960077,-16.34133681,16.94167596,8.588882861,16.29779242,15.83587376,13.42069652,14.27817243,18.02244796,15.30502399,20.62031295,16.88155933,13.04820194,12.35104699,10.47403028,12.35578761,18.25972233,18.70990979,22.69197003,15.76730442,16.2434314,16.06860844,13.38817737,15.31084749,22.07584708,22.34779565,26.62410766,18.88105274,-0.068583302,0.222502946,-0.224382993,-0.517150047,-0.12146981,0.455746004,-0.439124112,-0.17295331,2.684461382,3.295623022,3.326655518,3.482425213,2.612479656,3.905188925,2.722001199,2.308180153,265.6180377,250.7748978,180.1150951,203.866208,324.8086306,234.2437592,425.197306,284.9870456,0.451883675,0.451883675,0.451883675,0.451883675,0.451883675,0.451883675,0.451883675,0.451883675,2.176303196,2.176303196,2.176303196,2.176303196,2.176303196,2.176303196,2.176303196,2.176303196,-2495363.937,-2495363.937,-2495363.937,-2495363.937,-2495363.937,-2495363.937,-2495363.937,-2495363.937,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,15162024560463.1+2901006122396.44i,83.33471017,81.55055529,56.61262607,74.04041559,153.9235746,157.7392498,223.8826857,112.5959572
1,8.598899352,7.501361337,-1.745137341,1.414721848,-8.497220067,4.505949815,8.909960787,-18.25667767,19.12532566,15.40551706,15.62927073,20.08194842,25.47307075,20.45552961,32.99534849,22.05435502,17.29272139,13.40078931,12.71004807,15.9249231,22.23702172,17.02612057,28.71373541,22.72076529,20.90014715,17.07971916,15.6646393,20.05206769,26.75687318,20.86651415,34.05055069,28.56292318,-0.232974503,-0.062007369,0.052242965,0.244456679,0.061824179,0.25938498,-0.332760399,-0.244519347,2.630071353,3.262281549,2.657171518,3.16764315,2.356668627,2.254385932,2.52571007,2.278129731,365.7780816,237.3299558,244.2741036,403.2846525,648.8773335,418.4286915,1088.693022,486.3945753,0.425220104,0.425220104,0.425220104,0.425220104,0.425220104,0.425220104,0.425220104,0.425220104,2.388690219,2.388690219,2.388690219,2.388690219,2.388690219,2.388690219,2.388690219,2.388690219,-4025090.181,-4025090.181,-4025090.181,-4025090.181,-4025090.181,-4025090.181,-4025090.181,-4025090.181,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,17895053023766.7-1462069317941.99i,137.9652347,92.13653576,77.50168629,126.9956076,226.1211091,137.521355,366.2002732,257.6770206
1,3.392174912,1.727731173,2.425517241,-11.42573402,-19.44301145,8.43218323,-57.86962509,-29.91884476,25.21568824,15.80437277,14.62264509,23.57294951,24.2951287,16.77883722,74.96323008,18.37981523,21.88431574,13.19919189,11.97362551,22.96501593,26.78186986,14.73535982,80.20754023,30.4107592,25.34347069,15.83606286,14.76509009,26.11170536,31.04189786,18.71888705,94.46576246,35.07525891,-0.426799989,-0.319029659,-0.100976226,0.957673028,0.853175328,0.458024921,0.160561478,0.011711895,2.260493074,2.282970416,2.712376105,3.255383862,3.898557281,2.499064702,1.760974017,2.081585772,635.8309333,249.7781985,213.8217496,555.6839488,590.2532785,281.5293786,5619.485864,337.817608,0.255196319,0.255196319,0.255196319,0.255196319,0.255196319,0.255196319,0.255196319,0.255196319,4.23294825,4.23294825,4.23294825,4.23294825,4.23294825,4.23294825,4.23294825,4.23294825,-14675877.99,-14675877.99,-14675877.99,-14675877.99,-14675877.99,-14675877.99,-14675877.99,-14675877.99,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,22847646276887-12941945426604.3i,202.8629078,79.20724895,68.85616254,215.3480111,304.3455232,110.6701184,2829.882177,388.572586
1,-16.94258226,-13.93052462,0.659854895,-15.90349161,-0.120353977,1.320167308,-57.05839458,-6.338914021,21.6194071,16.65516365,13.28697903,17.95894309,25.23247407,9.778311867,103.9645677,26.24367838,24.30455579,17.9530353,10.4271757,20.92567968,20.25066225,8.14313628,106.7831768,21.51359524,27.39964129,21.66223555,13.25058787,23.93501558,25.13243392,9.828497975,118.2307445,26.89695837,0.640571499,0.045819212,0.212920985,0.789656548,-0.364653647,-0.243873119,0.735951861,-0.239724832,2.811523572,2.474984829,2.821958208,3.042711796,2.688798718,2.25901466,2.196382069,2.222229683,467.3987632,277.3944763,176.5438119,322.5236367,636.6777478,95.61538296,10808.63134,688.730655,0.209995289,0.209995289,0.209995289,0.209995289,0.209995289,0.209995289,0.209995289,0.209995289,4.761705067,4.761705067,4.761705067,4.761705067,4.761705067,4.761705067,4.761705067,4.761705067,-20286048.07,-20286048.07,-20286048.07,-20286048.07,-20286048.07,-20286048.07,-20286048.07,-20286048.07,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,18771923340671.7-8458737786952.16i,237.1156075,148.2098046,55.45499618,180.9413478,199.4984315,30.51017451,4415.05667,228.4950143
1,-9.74226163,-19.72980263,0.745055851,18.12281896,8.038647783,4.347990184,23.35945193,27.85345729,21.69915436,19.81543165,12.30686305,29.00475885,12.43896648,11.62592634,83.82228857,19.54894844,20.15923129,23.2589319,9.915112452,28.78697957,11.712399,9.806379189,66.78768599,28.68199805,23.70713038,27.90699129,12.28055096,34.10331082,14.76887762,12.36909319,86.69530987,33.98445882,0.390873533,0.171383526,-0.255354839,-0.167471276,0.268675927,0.170879199,-0.895551468,-0.125460805,2.658415612,2.610764643,2.361469032,1.829060135,3.022428776,2.879012585,3.464036919,1.921637011,470.8532999,392.6513315,151.4588782,841.2760359,154.727887,135.1621633,7026.176061,382.1613852,0.270913673,0.270913673,0.270913673,0.270913673,0.270913673,0.270913673,0.270913673,0.270913673,3.992833347,3.992833347,3.992833347,3.992833347,3.992833347,3.992833347,3.992833347,3.992833347,-12938255.34,-12938255.34,-12938255.34,-12938255.34,-12938255.34,-12938255.34,-12938255.34,-12938255.34,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,813304100416.803-3910361285375.66i,177.5122656,245.9796157,47.63279719,367.3780035,68.89145705,48.3221346,2373.858189,364.8295497
1,5.445428339,8.044322702,1.686797297,16.03465664,6.46741888,1.319914587,64.24963195,30.3492798,19.64677565,32.83641637,12.4145838,30.88287405,13.30097076,12.06435475,44.11139396,19.32596968,16.1035915,29.79067896,9.863170633,29.6999982,11.85743342,9.320570386,65.08191867,31.23378515,20.31218906,33.68061735,12.47974304,34.6885091,14.7424298,12.08865923,77.8356429,35.93894347,0.304278615,-0.420002127,-0.557708781,-0.155245809,0.174651262,0.434239214,0.018677973,-0.168321313,2.619655451,2.063356581,2.970862931,1.732825056,2.597462652,3.363221406,1.628823644,2.194175757,385.9957933,1078.23024,154.1218909,953.7519095,176.9158232,145.5486556,1945.815077,373.4931041,0.25617815,0.25617815,0.25617815,0.25617815,0.25617815,0.25617815,0.25617815,0.25617815,4.043356326,4.043356326,4.043356326,4.043356326,4.043356326,4.043356326,4.043356326,4.043356326,-11228040.01,-11228040.01,-11228040.01,-11228040.01,-11228040.01,-11228040.01,-11228040.01,-11228040.01,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,-833870220217.466-3684169916957.19i,130.3118133,358.351822,49.19054954,380.3642947,68.64493899,46.15583976,2000.555449,407.9444206
