Particcipant,sample1_1,sample1_2,sample1_3,sample1_4,sample1_5,sample1_6,sample1_7,sample1_8,sample2_1,sample2_2,sample2_3,sample2_4,sample2_5,sample2_6,sample2_7,sample2_8,sample3_1,sample3_2,sample3_3,sample3_4,sample3_5,sample3_6,sample3_7,sample3_8,sample4_1,sample4_2,sample4_3,sample4_4,sample4_5,sample4_6,sample4_7,sample4_8,sample5_1,sample5_2,sample5_3,sample5_4,sample5_5,sample5_6,sample5_7,sample5_8,sample6_1,sample6_2,sample6_3,sample6_4,sample6_5,sample6_6,sample6_7,sample6_8,sample7_1,sample7_2,sample7_3,sample7_4,sample7_5,sample7_6,sample7_7,sample7_8,sample8_1,sample8_2,sample8_3,sample8_4,sample8_5,sample8_6,sample8_7,sample8_8,sample9_1,sample9_2,sample9_3,sample9_4,sample9_5,sample9_6,sample9_7,sample9_8,sample10_1,sample10_2,sample10_3,sample10_4,sample10_5,sample10_6,sample10_7,sample10_8,sample11_1,sample11_2,sample11_3,sample11_4,sample11_5,sample11_6,sample11_7,sample11_8,sample12_1,sample12_2,sample12_3,sample12_4,sample12_5,sample12_6,sample12_7,sample12_8
3,-0.75411655,-1.060068349,-1.190360528,-0.471126696,-1.009407196,-1.043113481,-0.987947492,0.393949733,4.343349571,1.720726863,1.789925674,4.240839406,1.715661605,1.724223037,1.736369953,2.686390567,3.323804511,1.186520876,1.384198241,3.117683016,1.185208466,1.172483926,1.254545657,2.177289462,4.391179771,2.015182035,2.143632765,4.250035468,1.98465354,2.009290236,1.991708065,2.70446984,0.159107352,-1.177575697,-1.232793968,-0.404641065,-1.203022158,-1.234474246,-1.156476356,-0.576456114,4.191174083,3.039317068,3.6342835,4.603563313,3.114767144,3.225692154,3.164178873,3.963184989,18.86468549,2.960900938,3.203833917,17.98471887,2.943494743,2.97294508,3.014980612,7.216694276,0.515554594,0.515554594,0.515554594,0.515554594,0.515554594,0.515554594,0.515554594,0.515554594,1.946749134,1.946749134,1.946749134,1.946749134,1.946749134,1.946749134,1.946749134,1.946749134,-27693.31116,-27693.31116,-27693.31116,-27693.31116,-27693.31116,-27693.31116,-27693.31116,-27693.31116,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,34261616028.1575-3684884951.46874i,6.090217898,1.282643893,1.451351457,5.704997984,1.244061723,1.275137972,1.252915431,2.310120682
3,-0.219614148,-1.289645116,-1.441329139,-0.343177999,-1.248848866,-1.27799125,-1.285940637,0.080031169,4.33674415,2.025598795,2.1126954,4.4905776,2.011915777,2.018802736,2.030841592,2.818258043,3.381753133,1.909600966,2.047746461,3.564463543,1.879867925,1.886182286,1.893209678,2.29213512,4.325079828,2.394508532,2.550585635,4.485868517,2.361207985,2.382536542,2.396920569,2.808192844,0.299486378,-0.068282117,-0.123049086,-0.65148896,-0.082199407,-0.128219357,-0.204808424,-0.386554032,3.580453767,2.265191453,2.583348419,3.636715661,2.307063617,2.316304184,2.071231594,3.270262089,18.80734982,4.103050478,4.463481853,20.16528718,4.047805095,4.075564488,4.124317572,7.942578398,0.469488316,0.469488316,0.469488316,0.469488316,0.469488316,0.469488316,0.469488316,0.469488316,1.990804863,1.990804863,1.990804863,1.990804863,1.990804863,1.990804863,1.990804863,1.990804863,-30211.76947,-30211.76947,-30211.76947,-30211.76947,-30211.76947,-30211.76947,-30211.76947,-30211.76947,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,-6502286427.87066-26892584512.0657i,5.908246983,1.810936259,2.054708444,6.355701131,1.760916947,1.792873001,1.814586483,2.490716188
3,0.822328392,0.39937468,0.260408551,1.512900349,0.430940507,0.414085265,0.253252485,-2.833716136,5.654400029,1.671366585,1.856143465,3.739832548,1.669281194,1.677197999,1.743881314,7.302610465,4.461195169,1.446787425,1.584876244,3.452324124,1.461384599,1.459471841,1.42860728,5.135575633,5.691635594,1.711956784,1.867013063,4.020474125,1.717583869,1.721085237,1.755312784,7.806076332,0.580191975,-0.615887085,-0.45423799,-0.554813396,-0.599390548,-0.60301096,-0.690771192,-1.386349219,3.06672689,2.698479329,2.591236963,2.903906475,2.655081614,2.674145969,3.019415697,4.173855314,31.97223969,2.793466262,3.445268563,13.98634748,2.786499704,2.812993129,3.041122037,53.3281196,0.642999344,0.642999344,0.642999344,0.642999344,0.642999344,0.642999344,0.642999344,0.642999344,1.930617835,1.930617835,1.930617835,1.930617835,1.930617835,1.930617835,1.930617835,1.930617835,-69030.79681,-69030.79681,-69030.79681,-69030.79681,-69030.79681,-69030.79681,-69030.79681,-69030.79681,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,-60026669145.3972-53046728411.5756i,10.2311977,0.925669557,1.100943671,5.105343135,0.931764783,0.93556754,0.973149173,19.2024886
3,1.388050109,1.14366627,1.144202427,0.942503793,1.151033457,1.1535569,1.111922576,-3.169411653,6.866085616,1.053949292,1.30182131,3.194185892,1.06946946,1.087505773,1.176045083,10.21826803,5.473898325,1.33592697,1.476870341,2.729753481,1.349521678,1.355276269,1.292904118,8.15054556,6.97822778,1.552406423,1.729302637,3.318156434,1.568300177,1.582395674,1.61507802,10.65971374,0.133056464,-0.164547329,-0.115200786,0.103036822,-0.135054309,-0.141056987,0.18552712,-0.207983398,2.976984367,2.869166633,2.770199262,2.468139482,2.807926142,2.784578215,2.967775072,2.924076104,47.14313169,1.110809111,1.694738723,10.20282351,1.143764926,1.182668807,1.383082037,104.4130015,0.656360213,0.656360213,0.656360213,0.656360213,0.656360213,0.656360213,0.656360213,0.656360213,1.846638287,1.846638287,1.846638287,1.846638287,1.846638287,1.846638287,1.846638287,1.846638287,-114977.1103,-114977.1103,-114977.1103,-114977.1103,-114977.1103,-114977.1103,-114977.1103,-114977.1103,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,-110683781203.184-146041102578.544i,15.38015785,0.761169278,0.944522708,3.47746879,0.776834977,0.790861733,0.823867555,35.8887625
3,-0.914530035,0.50700745,0.603876579,-0.131481354,0.509392357,0.481000463,0.635971928,3.703252331,5.980844214,1.399698624,1.563585528,3.058604354,1.412398211,1.438242786,1.474751922,12.29858335,4.351359752,1.274959627,1.438436044,2.353249197,1.281331234,1.28831823,1.305918552,9.830167827,6.02685406,1.483463493,1.670348304,3.049278838,1.496167434,1.511121025,1.600653762,12.79721816,0.171498487,-0.36196282,-0.23500965,0.279478292,-0.354358809,-0.355709212,-0.193087187,0.209128416,4.419505987,2.378626054,2.296662466,3.346069921,2.437696098,2.421820066,2.623046058,3.738080508,35.77049752,1.959156239,2.444799705,9.355060596,1.994868707,2.068542311,2.174893231,151.2551525,0.698227601,0.698227601,0.698227601,0.698227601,0.698227601,0.698227601,0.698227601,0.698227601,1.70294318,1.70294318,1.70294318,1.70294318,1.70294318,1.70294318,1.70294318,1.70294318,-150601.7124,-150601.7124,-150601.7124,-150601.7124,-150601.7124,-150601.7124,-150601.7124,-150601.7124,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,-169400528679.746-64266457310.8758i,11.47233281,0.695062908,0.881220248,2.936734366,0.707018506,0.721221863,0.809217351,51.72509857
3,-1.683102718,-0.015096677,-0.129858613,0.882424659,-0.001465155,-0.023121482,0.021365594,3.319398521,3.923576268,1.227324551,1.402025555,4.090389551,1.250789641,1.261439938,1.267345493,10.52234642,2.960233671,0.990932767,1.18041799,3.081819291,1.015113138,1.027461118,1.015795468,7.761951163,4.255009672,1.222537729,1.402475781,4.168593524,1.245817164,1.256636982,1.262487128,10.99360961,-1.265485162,-0.1662409,-0.089486446,0.645348606,-0.186523999,-0.219916453,-0.101463882,1.019697119,4.678383106,2.345885522,2.155836092,3.104616089,2.337040716,2.327812142,2.658077008,4.922871118,15.39445073,1.506325553,1.965675657,16.73128668,1.564474725,1.591230716,1.606164598,110.7197741,0.680306146,0.680306146,0.680306146,0.680306146,0.680306146,0.680306146,0.680306146,0.680306146,1.717315273,1.717315273,1.717315273,1.717315273,1.717315273,1.717315273,1.717315273,1.717315273,-109764.6538,-109764.6538,-109764.6538,-109764.6538,-109764.6538,-109764.6538,-109764.6538,-109764.6538,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,9979422669.98045+222680309078.536i,5.718359958,0.472057363,0.621242947,5.488447139,0.490207427,0.498759367,0.503412894,38.17251171
3,-0.591352454,-0.48992438,-0.631150305,0.7641888,-0.512741325,-0.468740791,-0.525476495,-1.027620145,3.940068491,1.249883795,1.284264437,5.032198246,1.287499627,1.266824136,1.192876279,4.878301291,3.068292,1.044788758,1.151094739,4.036973054,1.077834828,1.066825899,1.026261125,3.811637144,3.968706336,1.337847865,1.426392614,5.070111179,1.381087601,1.346040292,1.299148213,4.96638249,-0.472545717,-0.381626063,-0.361189746,0.428790683,-0.407417213,-0.331132886,-0.366725216,-0.519961981,2.918511422,2.917885353,2.910195365,2.686157607,2.993248778,2.84593495,2.928312526,3.794437073,15.52413971,1.562209501,1.649335144,25.32301919,1.657655288,1.604843391,1.422953817,23.79782349,0.609279188,0.609279188,0.609279188,0.609279188,0.609279188,0.609279188,0.609279188,0.609279188,1.771512904,1.771512904,1.771512904,1.771512904,1.771512904,1.771512904,1.771512904,1.771512904,-34304.67514,-34304.67514,-34304.67514,-34304.67514,-34304.67514,-34304.67514,-34304.67514,-34304.67514,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,-13512688504.5344+162393437898.312i,4.974716273,0.565305151,0.642612389,8.119052552,0.602437447,0.572249981,0.533074329,7.790237878
3,1.306709196,-1.497355716,-1.244780417,-3.368747949,-1.516093078,-1.504516789,-1.583923278,-2.453215369,3.27290694,1.691493471,1.645353616,5.716603002,1.703751017,1.697792288,1.673802026,3.808726091,2.891481611,1.847800174,1.678014706,5.356966147,1.861809208,1.84934223,1.844579369,3.623676423,3.512035524,2.254000169,2.057955584,6.615788019,2.275580786,2.263447028,2.299606737,4.517690778,-0.420318115,0.076277481,0.124598733,0.25036148,0.071273064,0.029041941,-0.256878862,0.073755864,3.417084246,3.040885321,3.259213198,3.307279017,3.068457662,2.993045704,3.166788943,2.832684804,10.71191984,2.861150162,2.707188523,32.67954988,2.902767529,2.882498653,2.801613222,14.50639443,0.525176038,0.525176038,0.525176038,0.525176038,0.525176038,0.525176038,0.525176038,0.525176038,1.961362538,1.961362538,1.961362538,1.961362538,1.961362538,1.961362538,1.961362538,1.961362538,-46180.76212,-46180.76212,-46180.76212,-46180.76212,-46180.76212,-46180.76212,-46180.76212,-46180.76212,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,-39919798899.3791+52176974006.7831i,3.895724062,1.604642443,1.337649654,13.82399437,1.635516398,1.618121233,1.670234812,6.446194269
3,1.576855739,0.69933674,1.06801129,-2.352395601,0.710496933,0.679086318,0.714509067,-0.732663286,2.898424523,3.188435109,3.18473025,6.407501111,3.198997043,3.206422928,3.353179007,4.651309417,2.708281481,2.885461082,2.879266794,5.46853975,2.885524361,2.886757218,3.002264379,3.654422148,3.289477954,3.251846682,3.347037316,6.801764015,3.264531983,3.265074243,3.415420337,4.690391346,-0.091894474,-0.098233037,0.031577979,0.026603271,-0.094122478,-0.086337611,-0.108778139,-0.026146469,2.746142873,1.885249835,2.092682166,2.648039284,1.909904222,1.904798755,1.869453728,2.99412043,8.400864717,10.16611844,10.14250676,41.05607049,10.23358208,10.281148,11.24380946,21.63467929,0.46816316,0.46816316,0.46816316,0.46816316,0.46816316,0.46816316,0.46816316,0.46816316,2.475549697,2.475549697,2.475549697,2.475549697,2.475549697,2.475549697,2.475549697,2.475549697,-60696.73659,-60696.73659,-60696.73659,-60696.73659,-60696.73659,-60696.73659,-60696.73659,-60696.73659,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,197250871331.878+113644619637.225i,3.417624885,3.339877278,3.538274289,14.61212851,3.36598551,3.367103828,3.684331565,6.948459761
3,-1.196754402,2.673859698,2.488832728,4.315697074,2.672254563,2.677670471,2.896898056,4.36628143,4.370035068,1.856748593,2.295325285,7.662276871,1.878410501,1.870109544,2.11724584,5.236037839,3.684719213,2.858137267,2.830419908,6.889292798,2.86052146,2.861067097,3.191134355,5.171940002,4.514184585,3.251104395,3.37949595,8.767540809,3.262110832,3.261820416,3.583178906,6.80168492,-0.242646181,-0.207919008,-0.043409228,0.357650411,-0.190463732,-0.186402845,-0.613093985,0.552360768,2.362919992,3.067496154,2.715581248,2.902041403,3.027881345,3.020503124,3.038326722,2.676988782,19.0972065,3.447515338,5.268518162,58.71048685,3.528426012,3.497309706,4.482729945,27.41609225,0.476299964,0.476299964,0.476299964,0.476299964,0.476299964,0.476299964,0.476299964,0.476299964,2.270420296,2.270420296,2.270420296,2.270420296,2.270420296,2.270420296,2.270420296,2.270420296,-106655.6812,-106655.6812,-106655.6812,-106655.6812,-106655.6812,-106655.6812,-106655.6812,-106655.6812,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,86294830134.8852-11469101613.4033i,6.436200609,3.340587142,3.607236932,24.27873853,3.362748524,3.362544757,4.065288307,14.61179016
