Participant,sample1_1,sample1_2,sample1_3,sample1_4,sample1_5,sample1_6,sample1_7,sample1_8,sample2_1,sample2_2,sample2_3,sample2_4,sample2_5,sample2_6,sample2_7,sample2_8,sample3_1,sample3_2,sample3_3,sample3_4,sample3_5,sample3_6,sample3_7,sample3_8,sample4_1,sample4_2,sample4_3,sample4_4,sample4_5,sample4_6,sample4_7,sample4_8,sample5_1,sample5_2,sample5_3,sample5_4,sample5_5,sample5_6,sample5_7,sample5_8,sample6_1,sample6_2,sample6_3,sample6_4,sample6_5,sample6_6,sample6_7,sample6_8,sample7_1,sample7_2,sample7_3,sample7_4,sample7_5,sample7_6,sample7_7,sample7_8,sample8_1,sample8_2,sample8_3,sample8_4,sample8_5,sample8_6,sample8_7,sample8_8,sample9_1,sample9_2,sample9_3,sample9_4,sample9_5,sample9_6,sample9_7,sample9_8,sample10_1,sample10_2,sample10_3,sample10_4,sample10_5,sample10_6,sample10_7,sample10_8,sample11_1,sample11_2,sample11_3,sample11_4,sample11_5,sample11_6,sample11_7,sample11_8,sample12_1,sample12_2,sample12_3,sample12_4,sample12_5,sample12_6,sample12_7,sample12_8
4,-7.416973236,-2.611418942,0.134256991,-2.100345006,-4.423233158,1.452447682,-0.066311345,-7.937966424,10.41762627,8.601151662,2.195397252,8.446082583,7.291462399,9.213462067,16.32393294,24.28629936,9.52291722,7.024266475,1.753100866,6.747759706,7.052402228,6.673355386,13.74040097,23.18702571,12.75422337,8.955862902,2.190715838,8.670471132,8.503240094,9.290768777,16.25864132,25.45814315,-0.693758225,1.131188797,0.391225988,0.719896436,0.404049417,0.916577655,0.082356009,0.747423993,2.982902496,4.799088769,2.618330876,4.064360421,3.020346092,4.468541505,2.052629837,2.299228306,108.5269372,73.97980991,4.819769094,71.336311,53.16542392,84.88788326,266.4707866,589.8243364,0.349769827,0.349769827,0.349769827,0.349769827,0.349769827,0.349769827,0.349769827,0.349769827,2.706403234,2.706403234,2.706403234,2.706403234,2.706403234,2.706403234,2.706403234,2.706403234,-1078099.236,-1078099.236,-1078099.236,-1078099.236,-1078099.236,-1078099.236,-1078099.236,-1078099.236,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,36250772403.562-29346881661.908i,51.37814543,25.3329205,1.515802024,23.74410406,22.83695876,27.26300328,83.49085237,204.7028243
4,2.648616471,0.38798416,-1.969981013,5.292513167,-2.697090355,0.598529621,-0.113024971,8.317678538,17.283957,8.768623357,4.001315759,13.57300389,6.888964221,9.90019618,23.78571453,19.10940541,14.64487777,6.856275247,3.660205591,11.72614004,5.993079834,7.61029411,18.77088113,17.31151203,17.41779047,8.742371479,4.445704141,14.5180927,7.372616563,9.878979407,23.69140836,20.77149445,-0.324973214,0.56909511,-0.159165302,0.280024663,0.137926636,0.787666432,0.908000237,-0.196724218,2.225602382,3.379537224,2.341528372,2.261950363,2.866077834,3.794684196,3.213945471,2.268410155,298.7351697,76.88875558,16.0105278,184.2264347,47.45782803,98.0138844,565.7602158,365.169375,0.343340936,0.343340936,0.343340936,0.343340936,0.343340936,0.343340936,0.343340936,0.343340936,3.025306567,3.025306567,3.025306567,3.025306567,3.025306567,3.025306567,3.025306567,3.025306567,-1418783.001,-1418783.001,-1418783.001,-1418783.001,-1418783.001,-1418783.001,-1418783.001,-1418783.001,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,-83356234822.5636-48124425910.5828i,95.82007271,24.13953497,6.242859527,66.5719644,17.16776192,30.82439399,177.2768965,136.2717956
4,2.93715278,-1.422426704,-3.559824934,5.314277723,-3.655232911,-0.01109658,-5.052933023,-7.515904687,15.70116473,7.416953543,3.744351515,13.2529594,7.514798482,8.462867843,26.67989563,24.42759398,13.81888903,6.372664563,4.245759528,11.26936439,6.374498715,7.005597715,22.61138987,18.28568489,15.9121614,7.523157632,5.155700791,14.22984557,8.329749805,8.42922544,27.04994682,25.46488559,0.124234657,0.111977759,-0.079961036,0.082934833,-0.673308183,0.066345584,0.839283773,-1.123276426,1.754073241,2.056412244,2.503185911,2.857141808,3.859452747,2.360113754,2.985863468,4.522690597,246.5265739,55.01119986,14.02016827,175.640933,56.47219622,71.62013213,711.816831,596.7073476,0.308958405,0.308958405,0.308958405,0.308958405,0.308958405,0.308958405,0.308958405,0.308958405,3.56702802,3.56702802,3.56702802,3.56702802,3.56702802,3.56702802,3.56702802,3.56702802,-1764435.085,-1764435.085,-1764435.085,-1764435.085,-1764435.085,-1764435.085,-1764435.085,-1764435.085,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,-29880870041.3145+61444355879.672i,79.97059119,17.87601571,8.394148075,63.95398248,21.9146752,22.44118185,231.1017428,204.8112403
4,-9.700233695,-2.678527915,-0.022705801,-1.669002346,-3.399611573,-0.310546351,-5.769726986,-14.88153191,7.931456751,9.756826155,5.182163188,11.63262224,8.586590104,11.89506426,20.77112159,32.82607049,10.57224297,7.766855525,3.381132508,8.772522979,7.338268746,7.964120378,17.13683954,28.44718339,12.5101267,10.08040909,5.161608025,11.70596076,9.203354468,11.85183682,21.47801478,35.9229579,-0.160041702,-0.008954978,1.216071941,1.148230796,-0.212474475,2.078929084,0.340500811,0.196374244,3.980725793,4.331014904,7.758749376,5.405952095,3.207266997,8.654845694,2.933412743,3.030986463,62.9080062,95.19565662,26.85481531,135.3179002,73.72952961,141.4925538,431.4394923,1077.550904,0.322213685,0.322213685,0.322213685,0.322213685,0.322213685,0.322213685,0.322213685,0.322213685,3.276427494,3.276427494,3.276427494,3.276427494,3.276427494,3.276427494,3.276427494,3.276427494,-2148863.637,-2148863.637,-2148863.637,-2148863.637,-2148863.637,-2148863.637,-2148863.637,-2148863.637,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,1295829615820.18-116690041690.584i,49.43036319,32.09421098,8.414735277,43.27972812,26.75254577,44.36512542,145.6991502,407.583029
4,-0.288494674,0.593122024,3.478654939,-3.814632001,-2.279658011,0.535655287,13.56905844,1.623882176,13.36032342,10.20058913,4.597656782,11.11631132,8.35114959,11.56576677,13.02250644,35.18027619,10.47329753,7.963449045,4.179304132,8.776671705,7.268918639,7.130922095,14.71095215,30.51414569,13.3103275,10.17732788,5.75080191,11.71080961,8.624675911,11.53222637,18.77123073,35.07800154,0.392280923,-0.596285286,1.218091139,1.76974747,-0.020017572,2.03688948,0.66110497,-0.346123626,3.177751262,4.189437848,5.81848224,7.336440415,2.167792075,9.044264879,3.121655386,2.121154513,178.4982418,104.0520186,21.13844788,123.5723775,69.74169948,133.7669609,169.5856739,1237.651832,0.365192868,0.365192868,0.365192868,0.365192868,0.365192868,0.365192868,0.365192868,0.365192868,3.158892732,3.158892732,3.158892732,3.158892732,3.158892732,3.158892732,3.158892732,3.158892732,-1951128.894,-1951128.894,-1951128.894,-1951128.894,-1951128.894,-1951128.894,-1951128.894,-1951128.894,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,3763092325274.59-643827716954.123i,55.95615566,32.71432157,10.44545059,43.31558934,23.49394547,42.00458421,111.2907422,388.633552
4,0.311529828,0.55701934,1.629795372,-4.979945201,0.581505383,-2.495676234,-4.884293314,6.401360927,14.99030364,8.818451037,5.402390925,10.65933648,9.388181885,9.732173977,29.40706424,21.17999785,11.04601376,7.323939826,4.596088035,9.609498754,7.520716007,7.188702679,24.22827003,18.23083554,14.9339495,8.801032102,5.622315102,11.72687302,9.368916694,10.00959051,29.69458623,22.04562256,-0.394125932,-0.309053698,-0.789827917,0.671510174,0.068868159,-0.67378546,-0.75705673,-0.199956936,3.501090958,2.450731592,3.402949131,3.471369169,2.723666893,3.282256359,2.982982825,2.362900589,224.7092033,77.76507868,29.1858277,113.6214542,88.13795911,94.71521033,864.7754272,448.5923088,0.311808053,0.311808053,0.311808053,0.311808053,0.311808053,0.311808053,0.311808053,0.311808053,3.179618744,3.179618744,3.179618744,3.179618744,3.179618744,3.179618744,3.179618744,3.179618744,-1718617.699,-1718617.699,-1718617.699,-1718617.699,-1718617.699,-1718617.699,-1718617.699,-1718617.699,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,3081540461757.6-234001596687.429i,70.44006428,24.46457057,9.98391214,43.43450021,27.72356909,31.64484761,278.4998354,153.5023831
4,0.475558957,1.888011548,-0.409649656,5.651634471,5.056075676,0.640758789,-12.97693497,0.56095405,14.42518817,8.388931337,4.044743501,13.61258591,7.219034643,11.30469418,24.0028936,8.661623738,10.59891295,7.051144642,2.80771383,12.82609974,7.04603359,9.276495192,19.80318879,7.134733795,14.3756994,8.566226208,4.04943477,14.68920735,8.790037292,11.27796203,27.20233834,8.6454016,-0.646182402,-0.490800792,-1.278482711,-0.407278861,0.130276291,-0.611047676,-0.929393384,0.296817823,3.661632485,2.879302417,4.826711356,2.118629228,2.89977792,2.778493832,3.866553178,2.575782022,208.0860537,70.37416898,16.35994999,185.3024952,52.11446118,127.7961105,576.138901,75.02372578,0.3201662,0.3201662,0.3201662,0.3201662,0.3201662,0.3201662,0.3201662,0.3201662,3.0176768,3.0176768,3.0176768,3.0176768,3.0176768,3.0176768,3.0176768,3.0176768,-1271525.523,-1271525.523,-1271525.523,-1271525.523,-1271525.523,-1271525.523,-1271525.523,-1271525.523,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,-13316461229.835-20966015454.2675i,65.27221534,23.17658604,5.179158496,68.15019589,24.40348334,40.17275743,233.712996,23.60699623
4,4.815447886,1.833735864,-0.171640435,6.053771646,2.417893943,2.007883654,1.190235113,-1.927807708,13.42616285,8.525276081,3.182560834,13.22758858,8.916426354,14.27418969,26.19451179,8.140497152,11.03330291,7.048822061,2.401646716,12.2027131,7.233136348,11.54763833,17.47107526,6.665248884,14.21336476,8.687122162,3.174549959,14.49926229,9.204232535,14.3585168,26.11749324,8.334158768,-0.318108251,-0.507441807,-0.159302955,-0.481942854,-0.947074828,-0.842509228,0.863893219,0.849530269,2.954201552,3.439723393,3.69152006,2.651353459,4.617785714,3.760271583,4.839558143,4.47757818,180.2618489,72.68033226,10.12869346,174.9690996,79.50265892,203.7524912,686.152448,66.26769388,0.355782837,0.355782837,0.355782837,0.355782837,0.355782837,0.355782837,0.355782837,0.355782837,3.174552599,3.174552599,3.174552599,3.174552599,3.174552599,3.174552599,3.174552599,3.174552599,-1284938.57,-1284938.57,-1284938.57,-1284938.57,-1284938.57,-1284938.57,-1284938.57,-1284938.57,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,-27108249800.5791-175700938529.571i,63.80639225,23.83534856,3.182986762,66.39910299,26.75750119,65.11627501,215.4435156,21.93784272
4,3.550742332,-2.853778883,-1.609413365,-6.264256772,-3.750811811,-3.427615155,3.187768039,-1.192599274,15.75308158,9.488493143,4.366423228,12.06773303,11.98104069,17.84341452,44.28608985,9.384205129,12.33291388,7.669539403,3.86823825,10.90049329,10.38438027,15.39350814,33.8907686,7.618457944,16.08719459,9.872234819,4.637299698,13.55416166,12.50898384,18.09997522,44.22503908,9.422668614,0.343589313,-0.289373003,0.289520324,0.372682321,0.28547684,0.402092464,0.994703,0.438196251,2.602925961,3.621875553,2.357996395,3.241305968,2.451971116,2.531983077,3.007491532,3.163490411,248.1595793,90.03150213,19.0656518,145.6301806,143.5453361,318.3874417,1961.257754,88.0633059,0.246094376,0.246094376,0.246094376,0.246094376,0.246094376,0.246094376,0.246094376,0.246094376,3.832790989,3.832790989,3.832790989,3.832790989,3.832790989,3.832790989,3.832790989,3.832790989,-2923721.366,-2923721.366,-2923721.366,-2923721.366,-2923721.366,-2923721.366,-2923721.366,-2923721.366,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,226617727294.652+172100202691.199i,81.7393195,30.78231942,6.792047753,58.02506826,49.4213336,103.4728349,617.7368154,28.04260557
4,0.449877605,-1.385331368,3.43796867,-5.360955782,5.59221812,4.584287997,9.398642332,1.264426613,14.0209402,11.05793681,9.782143527,15.29408677,21.94316007,22.53846444,42.43644463,11.93278796,10.53029285,8.702937154,7.517400739,13.07551285,17.32619449,18.5993819,33.07118762,9.471115214,13.97243506,11.10074995,10.33201401,16.14907166,22.5600029,22.91214677,43.30004429,11.95241032,1.188800836,0.232883089,0.836309805,1.202486152,1.13016541,0.718817439,0.84544395,-0.072474001,3.687063723,3.725999572,2.448149451,5.774478976,4.606803119,2.561474967,2.879233193,3.056492807,196.586764,122.2779664,95.69033199,233.9090901,481.502274,507.9823793,1800.851833,142.3914285,0.372192108,0.372192108,0.372192108,0.372192108,0.372192108,0.372192108,0.372192108,0.372192108,2.809504978,2.809504978,2.809504978,2.809504978,2.809504978,2.809504978,2.809504978,2.809504978,-3541996.527,-3541996.527,-3541996.527,-3541996.527,-3541996.527,-3541996.527,-3541996.527,-3541996.527,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,89533604619.6528-128642716202.767i,61.66157484,38.92019309,33.71633473,82.36932499,160.7491513,165.8066491,592.1709083,45.12141727
